key,source,url,srcid,shell,z_cross,z_best,logM,phot_flux_radius,eqw_hb,phot_restV,phi_ratio,l3_kpc,l3_l2,flag
srcid_0000020,descendant_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/descendant_8as__srcid_0000020.png,20.0,Shell_C,6.0,0.6703791737703974,,,6.8847303,,0.1057,,,
srcid_0000275,descendant_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/descendant_8as__srcid_0000275.png,275.0,Shell_C,6.0,1.3242273,10.960944494228594,6.53,-21.36704,11.540859,-0.214,3.545,1.304,
srcid_0000423,descendant_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/descendant_8as__srcid_0000423.png,423.0,Shell_C,6.0,1.3270216,11.050057477932837,7.16,-1.5055056,12.787653,-0.2171,3.887,1.43,
srcid_0001436,descendant_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/descendant_8as__srcid_0001436.png,1436.0,Shell_C,6.0,1.6955156,10.910466203016345,3.32,5.4841723,5.522833,-0.4496,1.816,0.668,
srcid_0005457,intermediate_z_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/intermediate_z_8as__srcid_0005457.png,5457.0,Shell_C,6.0,1.591463366359994,11.023736328166871,9.6,26.84077,5.3891134,-0.4205,5.256,1.933,
srcid_0005717,descendant_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/descendant_8as__srcid_0005717.png,5717.0,Shell_C,6.0,1.390970190160998,10.924973788702141,6.22,20.97632,5.4234033,-0.2819,3.39,1.247,
srcid_0005842,intermediate_z_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/intermediate_z_8as__srcid_0005842.png,5842.0,Shell_C,6.0,1.4965843,10.959041134361359,4.06,28.999819,9.393194,-0.3683,2.221,0.817,
srcid_0008690,intermediate_z_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/intermediate_z_8as__srcid_0008690.png,8690.0,Shell_C,6.0,1.5348012,11.120636436782833,6.28,18.026396,5.0025387,-0.3923,3.437,1.264,
srcid_0009736,intermediate_z_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/intermediate_z_8as__srcid_0009736.png,9736.0,Shell_C,6.0,1.5367299999999968,10.851798567189308,3.12,43.422634,6.87037,-0.3934,1.708,0.628,
srcid_0016543,intermediate_z_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/intermediate_z_8as__srcid_0016543.png,16543.0,Shell_C,6.0,1.4718667,11.084783295774132,5.64,46.862778,7.585432,-0.3506,3.083,1.134,
srcid_0016573,intermediate_z_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/intermediate_z_8as__srcid_0016573.png,16573.0,Shell_C,6.0,1.4649962,11.285611183935483,6.66,46.791,15.2365265,-0.3454,3.64,1.339,
srcid_0020396,descendant_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/descendant_8as__srcid_0020396.png,20396.0,Shell_C,6.0,1.3340122,10.90079522490768,6.21,,1.8549582,-0.2245,3.373,1.241,
srcid_0020707,descendant_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/descendant_8as__srcid_0020707.png,20707.0,Shell_C,6.0,1.3777184847662145,11.031109960839467,14.07,21.676956,6.112582,-0.2692,7.663,2.818,
srcid_0025480,intermediate_z_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/intermediate_z_8as__srcid_0025480.png,25480.0,Shell_C,6.0,1.6733842,10.842400849904937,4.25,27.397263,6.2598023,-0.4458,2.325,0.855,
srcid_0027053,descendant_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/descendant_8as__srcid_0027053.png,27053.0,Shell_C,6.0,1.44045,10.958902057625652,13.29,15.118932,5.813193,-0.3259,7.258,2.669,
srcid_0028108,intermediate_z_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/intermediate_z_8as__srcid_0028108.png,28108.0,Shell_C,6.0,1.5454066,11.053221591161272,5.24,40.49604,6.106346,-0.3982,2.868,1.055,
srcid_0050432,descendant_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/descendant_8as__srcid_0050432.png,50432.0,Shell_C,6.0,1.4647651,11.030764804536002,10.83,,1.7953349,-0.3453,5.919,2.177,
srcid_0050847,descendant_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/descendant_8as__srcid_0050847.png,50847.0,Shell_C,6.0,1.3278013285295829,11.260263773472257,5.63,38.310715,15.222944,-0.2179,3.057,1.124,
srcid_0062131,intermediate_z_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/intermediate_z_8as__srcid_0062131.png,62131.0,Shell_C,6.0,1.6419491940783724,11.156217523403411,7.04,35.44724,3.5220351,-0.4382,3.853,1.417,
srcid_0074085,intermediate_z_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/intermediate_z_8as__srcid_0074085.png,74085.0,Shell_C,6.0,1.584500575,11.020019307570237,4.35,49.98394,7.391957,-0.4175,2.382,0.876,
srcid_0163028,intermediate_z_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/intermediate_z_8as__srcid_0163028.png,163028.0,Shell_C,6.0,1.5865976500000003,10.863959945760817,5.84,38.30054,4.750637,-0.4184,3.197,1.176,
srcid_0189524,intermediate_z_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/intermediate_z_8as__srcid_0189524.png,189524.0,Shell_C,6.0,1.614507975,11.202642721034563,9.05,8.328621,4.414116,-0.4294,4.954,1.822,
srcid_0215644,intermediate_z_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/intermediate_z_8as__srcid_0215644.png,215644.0,Shell_C,6.0,1.6666236250000002,11.16601559228403,4.79,31.36816,7.512699,-0.4444,2.621,0.964,
srcid_3100428,intermediate_z_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/intermediate_z_8as__srcid_3100428.png,3100428.0,Shell_C,6.0,1.6336948,11.160596148836749,10.63,13.892443,6.207953,-0.4358,5.819,2.14,
srcid_4100228,intermediate_z_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/intermediate_z_8as__srcid_4100228.png,4100228.0,Shell_C,6.0,1.568673,10.928818517605349,4.42,18.983433,5.111596,-0.4102,2.42,0.89,
srcid_4100366,descendant_8as,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/descendant_8as__srcid_4100366.png,4100366.0,Shell_C,6.0,1.4095412277843262,10.853267759079705,5.18,22.519035,4.8879213,-0.2991,2.825,1.039,
srcid_0000006_Shell_A,intermediate_shell,https://raw.githubusercontent.com/jsl29/qec-portraits/main/images/intermediate_shell__srcid_0000006_Shell_A.png,6.0,Shell_C,6.0,0.53309244,10.95717058654294,9.25,3.5518992,26.277523,-0.0348,3.79,1.394,
